cycle,visit_id,config_id,altslot_id,slot_id,slotdur,ra,dec,elat,glat,orient,categ,inst,mode,excess_mb,apt_target,apt_tile,apt_config,apt_pointing,apt_exposure
1,01176131001,01176131001_10101,01176131001_10101_01,01176131001_0001,1014,53.177215,-27.701133,-45.106710,-54.368365,68.0714,GTO,NIRCam,Imaging,-3195,1,1,1,1,1
1,01176131001,01176131001_10101,01176131001_10101_02,01176131001_0002,983,53.175446,-27.701706,-45.106720,-54.370000,68.0714,GTO,NIRCam,Imaging,-3195,1,1,1,2,2
1,01176131001,01176131001_10101,01176131001_10101_03,01176131001_0003,983,53.176093,-27.703272,-45.108388,-54.369671,68.0714,GTO,NIRCam,Imaging,-3195,1,1,1,3,3
1,01176131001,01176131001_10101,01176131001_10101_04,01176131001_0004,983,53.177862,-27.702699,-45.108378,-54.368036,68.0714,GTO,NIRCam,Imaging,-3195,1,1,1,4,4
1,01176131001,01176131001_10102,01176131001_10102_01,01176131001_0005,1014,53.177215,-27.701133,-45.106710,-54.368365,68.0714,GTO,NIRCam,Imaging,-3195,1,1,2,5,1
1,01176131001,01176131001_10102,01176131001_10102_02,01176131001_0006,983,53.175446,-27.701706,-45.106720,-54.370000,68.0714,GTO,NIRCam,Imaging,-3195,1,1,2,6,2
1,01176131001,01176131001_10102,01176131001_10102_03,01176131001_0007,983,53.176093,-27.703272,-45.108388,-54.369671,68.0714,GTO,NIRCam,Imaging,-3195,1,1,2,7,3
1,01176131001,01176131001_10102,01176131001_10102_04,01176131001_0008,983,53.177862,-27.702699,-45.108378,-54.368036,68.0714,GTO,NIRCam,Imaging,-3195,1,1,2,8,4
1,01176131001,01176131001_10103,01176131001_10103_01,01176131001_0009,692,53.177215,-27.701133,-45.106710,-54.368365,68.0714,GTO,NIRCam,Imaging,-3195,1,1,3,9,1
1,01176131001,01176131001_10103,01176131001_10103_02,01176131001_0010,661,53.175446,-27.701706,-45.106720,-54.370000,68.0714,GTO,NIRCam,Imaging,-3195,1,1,3,10,2
1,01176131001,01176131001_10103,01176131001_10103_03,01176131001_0011,661,53.176093,-27.703272,-45.108388,-54.369671,68.0714,GTO,NIRCam,Imaging,-3195,1,1,3,11,3
1,01176131001,01176131001_10103,01176131001_10103_04,01176131001_0012,661,53.177862,-27.702699,-45.108378,-54.368036,68.0714,GTO,NIRCam,Imaging,-3195,1,1,3,12,4
1,01176131001,01176131001_10104,01176131001_10104_01,01176131001_0013,692,53.177215,-27.701133,-45.106710,-54.368365,68.0714,GTO,NIRCam,Imaging,-3195,1,1,4,13,1
1,01176131001,01176131001_10104,01176131001_10104_02,01176131001_0014,661,53.175446,-27.701706,-45.106720,-54.370000,68.0714,GTO,NIRCam,Imaging,-3195,1,1,4,14,2
1,01176131001,01176131001_10104,01176131001_10104_03,01176131001_0015,661,53.176093,-27.703272,-45.108388,-54.369671,68.0714,GTO,NIRCam,Imaging,-3195,1,1,4,15,3
1,01176131001,01176131001_10104,01176131001_10104_04,01176131001_0016,661,53.177862,-27.702699,-45.108378,-54.368036,68.0714,GTO,NIRCam,Imaging,-3195,1,1,4,16,4
1,01176211001,01176211001_10101,01176211001_10101_01,01176211001_0001,1014,64.061573,-24.082743,-44.503644,-44.040947,21.0714,GTO,NIRCam,Imaging,-2987,1,1,1,1,1
1,01176211001,01176211001_10101,01176211001_10101_02,01176211001_0002,983,64.060862,-24.084279,-44.504976,-44.041976,21.0714,GTO,NIRCam,Imaging,-2987,1,1,1,2,2
1,01176211001,01176211001_10101,01176211001_10101_03,01176211001_0003,983,64.062545,-24.084928,-44.505980,-44.040664,21.0714,GTO,NIRCam,Imaging,-2987,1,1,1,3,3
1,01176211001,01176211001_10101,01176211001_10101_04,01176211001_0004,983,64.063255,-24.083392,-44.504648,-44.039635,21.0714,GTO,NIRCam,Imaging,-2987,1,1,1,4,4
1,01176211001,01176211001_10102,01176211001_10102_01,01176211001_0005,1014,64.061573,-24.082743,-44.503644,-44.040947,21.0714,GTO,NIRCam,Imaging,-2987,1,1,2,5,1
1,01176211001,01176211001_10102,01176211001_10102_02,01176211001_0006,983,64.060862,-24.084279,-44.504976,-44.041976,21.0714,GTO,NIRCam,Imaging,-2987,1,1,2,6,2
1,01176211001,01176211001_10102,01176211001_10102_03,01176211001_0007,983,64.062545,-24.084928,-44.505980,-44.040664,21.0714,GTO,NIRCam,Imaging,-2987,1,1,2,7,3
1,01176211001,01176211001_10102,01176211001_10102_04,01176211001_0008,983,64.063255,-24.083392,-44.504648,-44.039635,21.0714,GTO,NIRCam,Imaging,-2987,1,1,2,8,4
1,01176211001,01176211001_10103,01176211001_10103_01,01176211001_0009,800,64.061573,-24.082743,-44.503644,-44.040947,21.0714,GTO,NIRCam,Imaging,-2987,1,1,3,9,1
1,01176211001,01176211001_10103,01176211001_10103_02,01176211001_0010,769,64.060862,-24.084279,-44.504976,-44.041976,21.0714,GTO,NIRCam,Imaging,-2987,1,1,3,10,2
1,01176211001,01176211001_10103,01176211001_10103_03,01176211001_0011,769,64.062545,-24.084928,-44.505980,-44.040664,21.0714,GTO,NIRCam,Imaging,-2987,1,1,3,11,3
1,01176211001,01176211001_10103,01176211001_10103_04,01176211001_0012,769,64.063255,-24.083392,-44.504648,-44.039635,21.0714,GTO,NIRCam,Imaging,-2987,1,1,3,12,4
1,01176211001,01176211001_10104,01176211001_10104_01,01176211001_0013,800,64.061573,-24.082743,-44.503644,-44.040947,21.0714,GTO,NIRCam,Imaging,-2987,1,1,4,13,1
1,01176211001,01176211001_10104,01176211001_10104_02,01176211001_0014,769,64.060862,-24.084279,-44.504976,-44.041976,21.0714,GTO,NIRCam,Imaging,-2987,1,1,4,14,2
1,01176211001,01176211001_10104,01176211001_10104_03,01176211001_0015,769,64.062545,-24.084928,-44.505980,-44.040664,21.0714,GTO,NIRCam,Imaging,-2987,1,1,4,15,3
1,01176211001,01176211001_10104,01176211001_10104_04,01176211001_0016,769,64.063255,-24.083392,-44.504648,-44.039635,21.0714,GTO,NIRCam,Imaging,-2987,1,1,4,16,4
1,01176212001,01176212001_10101,01176212001_10101_01,01176212001_0001,1014,64.063126,-24.074163,-44.495669,-44.037325,,GTO,NIRCam,Imaging,-3248,1,1,1,1,1
1,01176212001,01176212001_10101,01176212001_10101_02,01176212001_0002,983,64.063068,-24.075829,-44.497272,-44.037814,,GTO,NIRCam,Imaging,-3248,1,1,1,2,2
1,01176212001,01176212001_10101,01176212001_10101_03,01176212001_0003,983,64.064893,-24.075883,-44.497730,-44.036220,,GTO,NIRCam,Imaging,-3248,1,1,1,3,3
1,01176212001,01176212001_10101,01176212001_10101_04,01176212001_0004,983,64.064951,-24.074216,-44.496127,-44.035731,,GTO,NIRCam,Imaging,-3248,1,1,1,4,4
1,01176212001,01176212001_10102,01176212001_10102_01,01176212001_0005,1014,64.063126,-24.074163,-44.495669,-44.037325,,GTO,NIRCam,Imaging,-3248,1,1,2,5,1
1,01176212001,01176212001_10102,01176212001_10102_02,01176212001_0006,983,64.063068,-24.075829,-44.497272,-44.037814,,GTO,NIRCam,Imaging,-3248,1,1,2,6,2
1,01176212001,01176212001_10102,01176212001_10102_03,01176212001_0007,983,64.064893,-24.075883,-44.497730,-44.036220,,GTO,NIRCam,Imaging,-3248,1,1,2,7,3
1,01176212001,01176212001_10102,01176212001_10102_04,01176212001_0008,983,64.064951,-24.074216,-44.496127,-44.035731,,GTO,NIRCam,Imaging,-3248,1,1,2,8,4
1,01176212001,01176212001_10103,01176212001_10103_01,01176212001_0009,800,64.063126,-24.074163,-44.495669,-44.037325,,GTO,NIRCam,Imaging,-3248,1,1,3,9,1
1,01176212001,01176212001_10103,01176212001_10103_02,01176212001_0010,769,64.063068,-24.075829,-44.497272,-44.037814,,GTO,NIRCam,Imaging,-3248,1,1,3,10,2
1,01176212001,01176212001_10103,01176212001_10103_03,01176212001_0011,769,64.064893,-24.075883,-44.497730,-44.036220,,GTO,NIRCam,Imaging,-3248,1,1,3,11,3
1,01176212001,01176212001_10103,01176212001_10103_04,01176212001_0012,769,64.064951,-24.074216,-44.496127,-44.035731,,GTO,NIRCam,Imaging,-3248,1,1,3,12,4
1,01176212001,01176212001_10104,01176212001_10104_01,01176212001_0013,800,64.063126,-24.074163,-44.495669,-44.037325,,GTO,NIRCam,Imaging,-3248,1,1,4,13,1
1,01176212001,01176212001_10104,01176212001_10104_02,01176212001_0014,769,64.063068,-24.075829,-44.497272,-44.037814,,GTO,NIRCam,Imaging,-3248,1,1,4,14,2
1,01176212001,01176212001_10104,01176212001_10104_03,01176212001_0015,769,64.064893,-24.075883,-44.497730,-44.036220,,GTO,NIRCam,Imaging,-3248,1,1,4,15,3
1,01176212001,01176212001_10104,01176212001_10104_04,01176212001_0016,769,64.064951,-24.074216,-44.496127,-44.035731,,GTO,NIRCam,Imaging,-3248,1,1,4,16,4
1,01176213001,01176213001_10101,01176213001_10101_01,01176213001_0001,1014,64.063126,-24.074163,-44.495669,-44.037325,,GTO,NIRCam,Imaging,-3225,1,1,1,1,1
1,01176213001,01176213001_10101,01176213001_10101_02,01176213001_0002,983,64.063068,-24.075829,-44.497272,-44.037814,,GTO,NIRCam,Imaging,-3225,1,1,1,2,2
1,01176213001,01176213001_10101,01176213001_10101_03,01176213001_0003,983,64.064893,-24.075883,-44.497730,-44.036220,,GTO,NIRCam,Imaging,-3225,1,1,1,3,3
